"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","3","MC7805ECDTXCT-ND","MC7805ECDTX","IC REG LDO 5V 1A TO252-3","IC2","0","0.75000","$2.25"
"2","3","490-3327-1-ND","GRM219R71H334KA88D","CAP CER 0.33UF 50V X7R 0805","C2","0","0.32000","$0.96"
"3","10","478-1395-1-ND","08055C104KAT2A","CAP CER 0.1UF 50V X7R 0805","C4C5","0","0.03100","$0.31"
"4","3","LMC7660IMX/NOPBCT-ND","LMC7660IMX/NOPB","IC REG SWTCHD CAP INV 8SOIC","INVERT","0","0.96000","$2.88"
"5","3","160-1910-1-ND","4N25S-TA1","OPTOISO 2.5KV TRANS W/BASE 6SMD","ISOLATE","0","0.59000","$1.77"
"6","10","RMCF0805JT8K20CT-ND","RMCF0805JT8K20","RES SMD 8.2K OHM 5% 1/8W 0805","R3","0","0.01600","$0.16"
"7","10","RMCF0805JT1K80CT-ND","RMCF0805JT1K80","RES SMD 1.8K OHM 5% 1/8W 0805","R9","0","0.01600","$0.16"
"8","10","RMCF0805JT47K0CT-ND","RMCF0805JT47K0","RES SMD 47K OHM 5% 1/8W 0805","R6","0","0.01600","$0.16"
"9","10","311-13KARCT-ND","RC0805JR-0713KL","RES SMD 13K OHM 5% 1/8W 0805","R8","0","0.01800","$0.18"
"10","10","RMCF0805JT680RCT-ND","RMCF0805JT680R","RES SMD 680 OHM 5% 1/8W 0805","R12","0","0.01600","$0.16"
"11","10","RMCF0805JT180RCT-ND","RMCF0805JT180R","RES SMD 180 OHM 5% 1/8W 0805","R14","0","0.01600","$0.16"
"12","3","MB6SCT-ND","MB6S","IC RECT BRIDGE 0.5A 600V 4SOIC","RECT","0","0.38000","$1.14"
"13","3","151-1206-1-ND","690-005-299-043","CONN MINI USB RCPT RA TYPE B SMD","USBMINIB","0","0.54000","$1.62"
"14","6","CP1-3523N-ND","SJ1-3523N","CONN JACK STEREO 3.5MM R/A","AUDIOINSIGOUT","0","0.74000","$4.44"
"15","10","311-10KARCT-ND","RC0805JR-0710KL","RES SMD 10K OHM 5% 1/8W 0805","R4R5","0","0.01800","$0.18"
"16","3","AD8541ARTZ-REEL7CT-ND","AD8541ARTZ-REEL7","IC OPAMP GP 1MHZ RRO SOT23-5","AMP7X","0","0.89000","$2.67"
"17","10","RMCF0805JT330RCT-ND","RMCF0805JT330R","RES SMD 330 OHM 5% 1/8W 0805","R1R11R13","0","0.01600","$0.16"
"18","3","475-1410-1-ND","LG R971-KN-1","LED GREEN DIFFUSED 0805 SMD","LEDPWR","0","0.25000","$0.75"
"19","6","475-1278-1-ND","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","LEDAUDIOPHOTO","0","0.26000","$1.56"
"20","3","497-4945-1-ND","LMV358IDT","IC OPAMP GP 1.3MHZ RRO 8SO","IC1","0","0.45000","$1.35"
"21","10","RMCF0805JT68K0CT-ND","RMCF0805JT68K0","RES SMD 68K OHM 5% 1/8W 0805","R7","0","0.01600","$0.16"
"22","3","TC33X-104ECT-ND","TC33X-2-104E","TRIMMER 100K OHM 0.1W SMD","SENS","0","0.28000","$0.84"
"23","10","RMCF0805JT1K00CT-ND","RMCF0805JT1K00","RES SMD 1K OHM 5% 1/8W 0805","R2","0","0.01600","$0.16"
"24","10","399-4925-1-ND","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C1C6C7","0","0.08900","$0.89"
"25","6","A1921-ND","640456-2","CONN HEADER VERT 2POS .100 TIN","BATTPHOTOD","0","0.12000","$0.72"
"26","6","A30978-ND","3-640441-2","CONN RECEPT 2POS 24AWG MTA100","BATTPHOTOD","0","0.18000","$1.08"
"27","10","RMCF0805JT39R0CT-ND","RMCF0805JT39R0","RES SMD 39 OHM 5% 1/8W 0805","R10","0","0.01600","$0.16"
"28","3","311-1365-1-ND","CC0805KKX7R7BB105","CAP CER 1UF 16V X7R 0805","C3","0","0.10000","$0.30"
"29","3","PDB-C156-ND","PHOTODIODE BLUE 8.02MM SQ CLEAR","PHOTODIODE","3","0","1.68000","$5.04"
